response_pattern,n,overall_prop
1-1-0-1-1-1-0-0-0,4,0.0014219694276573053
1-1-0-1-1-1-0-0-1,13,0.004621400639886242
1-1-0-1-1-1-0-1-1,1,3.5549235691432633e-4
1-1-0-1-1-1-1-0-1,8,0.0028439388553146107
1-1-0-1-1-1-1-1-1,1,3.5549235691432633e-4
1-1-1-0-0-0-0-0-0,15,0.005332385353714895
1-1-1-0-0-0-0-0-1,1,3.5549235691432633e-4
1-1-1-0-0-0-1-0-1,2,7.109847138286527e-4
1-1-1-0-0-1-0-0-0,59,0.020974049057945254
1-1-1-0-0-1-0-0-1,111,0.039459651617490224
1-1-1-0-0-1-0-1-0,6,0.002132954141485958
1-1-1-0-0-1-0-1-1,8,0.0028439388553146107
1-1-1-0-0-1-1-0-0,6,0.002132954141485958
1-1-1-0-0-1-1-0-1,39,0.013864201919658727
1-1-1-0-0-1-1-1-1,2,7.109847138286527e-4
1-1-1-0-1-0-0-0-0,1,3.5549235691432633e-4
1-1-1-0-1-1-0-0-0,19,0.0067543547813722
1-1-1-0-1-1-0-0-1,51,0.018130110202630643
1-1-1-0-1-1-0-1-1,5,0.0017774617845716318
1-1-1-0-1-1-1-0-0,10,0.0035549235691432635
1-1-1-0-1-1-1-0-1,41,0.01457518663348738
1-1-1-0-1-1-1-1-1,9,0.003199431212228937
1-1-1-1-0-0-0-0-0,6,0.002132954141485958
1-1-1-1-0-0-0-0-1,2,7.109847138286527e-4
1-1-1-1-0-0-0-1-1,1,3.5549235691432633e-4
1-1-1-1-0-0-1-0-0,1,3.5549235691432633e-4
1-1-1-1-0-1-0-0-0,29,0.010309278350515464
1-1-1-1-0-1-0-0-1,61,0.021685033771773908
1-1-1-1-0-1-0-1-0,1,3.5549235691432633e-4
1-1-1-1-0-1-0-1-1,2,7.109847138286527e-4
1-1-1-1-0-1-1-0-0,6,0.002132954141485958
1-1-1-1-0-1-1-0-1,17,0.006043370067543548
1-1-1-1-0-1-1-1-0,1,3.5549235691432633e-4
1-1-1-1-0-1-1-1-1,3,0.001066477070742979
1-1-1-1-1-0-0-0-1,1,3.5549235691432633e-4
1-1-1-1-1-0-1-0-0,1,3.5549235691432633e-4
1-1-1-1-1-1-0-0-0,18,0.006398862424457874
1-1-1-1-1-1-0-0-1,18,0.006398862424457874
1-1-1-1-1-1-0-1-1,2,7.109847138286527e-4
1-1-1-1-1-1-1-0-0,8,0.0028439388553146107
1-1-1-1-1-1-1-0-1,23,0.008176324209029506
1-1-1-1-1-1-1-1-0,2,7.109847138286527e-4
1-1-1-1-1-1-1-1-1,11,0.0039104159260575895
