response_pattern,n,C1_prob,C2_prob,C3_prob,C4_prob
1-1-1-0-0-1-0-1-0,6,0.12,0.866,0.013,0.002
1-1-1-0-0-1-1-0-0,6,0.172,0.813,0.015,0
1-1-1-1-0-0-0-0-0,6,0,0.972,0,0.027
1-1-1-1-0-1-1-0-0,6,0.002,0.964,0.034,0
0-0-0-0-0-1-1-0-0,5,0.88,0.023,0,0.097
0-0-0-0-1-1-0-0-0,5,0.487,0.046,0,0.468
0-0-1-0-0-1-1-1-1,5,0.974,0.007,0.019,0
1-0-0-0-1-1-0-0-0,5,0.091,0.768,0.014,0.128
1-0-0-0-1-1-1-0-1,5,0.071,0.358,0.571,0
1-0-0-1-0-1-0-0-1,5,0.005,0.987,0.008,0
1-0-1-1-1-1-0-0-0,5,0.003,0.852,0.145,0
1-0-1-1-1-1-0-1-1,5,0,0.076,0.924,0
1-1-1-0-1-1-0-1-1,5,0.024,0.369,0.607,0
0-0-0-1-0-0-0-0-0,4,0,0.004,0,0.996
0-1-0-0-1-1-0-0-1,4,0.715,0.282,0.003,0
0-1-1-1-0-1-0-0-1,4,0.194,0.802,0.004,0
1-0-0-0-0-1-1-0-0,4,0.282,0.663,0.01,0.045
1-1-0-0-0-0-0-0-1,4,0.004,0.996,0,0
1-1-0-0-0-1-0-1-1,4,0.061,0.925,0.014,0
1-1-0-0-0-1-1-0-0,4,0.064,0.924,0.003,0.009
1-1-0-1-0-1-1-0-1,4,0.001,0.965,0.034,0
1-1-0-1-1-1-0-0-0,4,0,0.99,0.008,0.001
0-0-1-0-1-1-1-0-0,3,0.956,0.025,0.019,0
0-1-1-0-0-1-0-1-1,3,0.946,0.052,0.002,0
0-1-1-0-1-1-1-0-0,3,0.838,0.136,0.026,0
1-0-0-0-1-1-0-0-1,3,0.136,0.791,0.073,0
1-0-1-0-0-1-0-1-1,3,0.486,0.392,0.122,0
1-0-1-0-0-1-1-0-0,3,0.547,0.42,0.032,0.001
1-0-1-0-0-1-1-1-1,3,0.184,0.128,0.688,0
1-1-0-0-0-0-0-1-1,3,0.003,0.997,0,0
1-1-0-0-1-1-0-1-1,3,0.016,0.747,0.237,0
1-1-0-0-1-1-1-0-0,3,0.02,0.909,0.07,0
1-1-0-1-1-0-0-0-1,3,0,1,0,0
1-1-1-1-0-1-1-1-1,3,0.001,0.284,0.715,0
