sInvented,sProcedural,sConceptual,tInitSelect,tCompare,tDiscussQ,tConnectBigIdeas,tConnectOthers,tPressExplain,condition,seg_num,unit,teacher,groups,C1_prob,C2_prob,C3_prob,C4_prob,class
1,1,2,1,2,2,1,1,2,1,1,5,3190100,whole,0,0.073,0.028,0.899,4
1,1,2,1,1,2,1,1,2,1,2,5,3190100,whole,0,0.004,0.011,0.985,4
1,1,2,1,1,2,1,1,1,1,3,5,3190100,whole,0.096,0.001,0.011,0.892,4
1,1,2,1,1,2,2,1,1,1,4,5,3190100,whole,0.012,0.009,0.004,0.975,4
1,2,2,1,1,2,1,1,2,1,5,5,3190100,whole,0,0.007,0.043,0.949,4
1,1,2,1,2,2,1,1,2,1,6,5,3190100,whole,0,0.073,0.028,0.899,4
2,2,2,2,1,2,1,1,2,1,1,1,3190100,whole,0,0.053,0.943,0.004,3
2,2,2,2,2,2,2,1,1,1,2,1,3190100,whole,0,0.733,0.266,0.001,2
2,2,2,1,2,2,1,1,2,1,3,1,3190100,whole,0,0.203,0.725,0.072,3
2,2,2,1,2,2,1,1,2,1,4,1,3190100,small_groups,0,0.203,0.725,0.072,3
2,2,2,1,1,2,1,1,2,1,5,1,3190100,small_groups,0,0.028,0.754,0.217,3
2,2,2,2,2,2,2,1,2,1,6,1,3190100,small_groups,0,0.915,0.085,0,2
2,2,2,1,2,2,1,1,2,1,7,1,3190100,whole,0,0.203,0.725,0.072,3
2,1,2,1,2,2,1,1,2,1,8,1,3190100,whole,0,0.288,0.502,0.211,3
2,2,2,1,2,2,1,1,1,1,9,1,3190100,whole,0.001,0.062,0.86,0.077,3
2,1,2,2,1,2,1,1,2,1,1,2,3190100,small_groups,0,0.101,0.883,0.016,3
2,1,2,1,1,2,1,1,2,1,2,2,3190100,small_groups,0,0.033,0.437,0.53,4
2,1,2,1,1,2,2,1,2,1,3,2,3190100,small_groups,0,0.295,0.149,0.556,4
2,2,2,1,1,2,1,1,2,1,4,2,3190100,small_groups,0,0.028,0.754,0.217,3
2,2,2,2,2,2,1,1,2,1,5,2,3190100,small_groups,0,0.294,0.705,0.001,3
2,2,2,1,2,2,1,1,2,1,6,2,3190100,small_groups,0,0.203,0.725,0.072,3
2,2,1,1,2,2,1,1,2,1,7,2,3190100,small_groups,0,0.059,0.909,0.032,3
2,2,2,2,2,2,1,1,1,1,8,2,3190100,small_groups,0,0.096,0.903,0.001,3
2,2,1,1,1,2,1,1,1,1,9,2,3190100,small_groups,0.228,0.002,0.707,0.064,3
2,2,2,1,2,2,1,1,2,1,10,2,3190100,small_groups,0,0.203,0.725,0.072,3
2,2,2,1,2,2,1,1,1,1,11,2,3190100,whole,0.001,0.062,0.86,0.077,3
1,1,1,1,1,2,1,1,1,1,12,2,3190100,whole,0.828,0,0.006,0.166,1
2,2,1,1,1,1,1,1,1,1,1,3,3190100,small_groups,0.903,0,0.097,0,1
2,2,1,1,1,1,1,1,1,1,2,3,3190100,small_groups,0.903,0,0.097,0,1
2,2,2,2,1,2,1,1,1,1,3,3,3190100,small_groups,0.001,0.014,0.981,0.004,3
2,2,2,1,1,2,1,1,2,1,4,3,3190100,small_groups,0,0.028,0.754,0.217,3
2,2,2,1,1,2,1,1,1,1,5,3,3190100,small_groups,0.015,0.007,0.776,0.201,3
2,1,2,1,1,2,1,1,1,1,6,3,3190100,small_groups,0.051,0.009,0.449,0.491,4
2,1,2,1,1,2,1,1,2,1,7,3,3190100,small_groups,0,0.033,0.437,0.53,4
2,1,2,2,2,2,1,2,1,1,8,3,3190100,small_groups,0,0.675,0.324,0.002,2
2,1,2,1,2,2,1,1,1,1,9,3,3190100,small_groups,0.004,0.096,0.653,0.247,3
